id,label,sentiment,original,text,exact_copy_of_original,execution_mode,prompt_version
1,0,negative,"the master of disguise may have made a great saturday night live sketch , but a great movie it is not .","The Master of Disguise might have worked wonderfully as a Saturday Night Live sketch, but it does not work as a great film.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
2,1,positive,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .","Ms. Seigner and Mr. Serrault give their characters a fresh, effortless sense of naturalism.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
3,0,negative,eight legged freaks ? no big hairy deal .,"Eight Legged Freaks? It is hardly a big, hairy deal.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
4,1,positive,the bard as black comedy -- willie would have loved it .,The Bard recast as black comedy—Willie would have adored it.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
5,1,positive,generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,"For the most part, it gives its young target audience enough visual and auditory stimulation to help the moral lesson go down.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
6,0,negative,the cold turkey would've been a far better title .,Cold Turkey would have been a much better title.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
7,0,negative,couldn't someone take rob schneider and have him switch bodies with a funny person ?,Could someone arrange for Rob Schneider to swap bodies with somebody funny?,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
8,1,positive,"the underworld urban angst is derivative of martin scorsese's taxi driver and goodfellas , but this film speaks for itself .","Its urban underworld angst draws heavily from Martin Scorsese's Taxi Driver and Goodfellas, yet the film still speaks on its own behalf.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
9,1,positive,"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .",A refined and sensitive interpretation of Greene's work that is also impressively faithful.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
10,0,negative,"like its title character , esther kahn is unusual but unfortunately also irritating .","Like the character named in its title, Esther Kahn is distinctive but, regrettably, irritating as well.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
11,0,negative,"talky , artificial and opaque . . . an interesting technical exercise , but a tedious picture .","Verbose, contrived, and impenetrable, it is an intriguing technical experiment but a tiresome film.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
12,0,negative,essentially a collection of bits -- and they're all naughty .,"It is basically an assortment of sketches, every one of them naughty.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
13,0,negative,"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story .","Still, you leave wishing the film had devoted far less time to establishing the credibility of messages from the afterlife and far more to the romantic urgency at the story's core.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
14,1,positive,"smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them the respect they are due .",Smith avoids ridiculing these unusual owners of architectural curiosities and instead treats them with the respect they deserve.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
15,0,negative,a sentimental hybrid that could benefit from the spice of specificity .,This sentimental blend would be improved by a stronger dose of specificity.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
16,1,positive,russian ark is a new treasure of the hermitage .,Russian Ark is a newly discovered treasure of the Hermitage.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
17,0,negative,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .","Despite its accomplished craftsmanship and an overpowering succession of third-act climaxes, Lily Chou-Chou never generates much emotional momentum.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
18,0,negative,"peralta's mythmaking could have used some informed , adult hindsight .","Peralta's creation of myth would have benefited from informed, mature hindsight.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
19,1,positive,"not the best herzog perhaps , but unmistakably herzog .","It may not be Herzog at his finest, but it is unmistakably his work.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
20,1,positive,"films are made of little moments . changing lanes tries for more . it doesn't reach them , but the effort is gratefully received .","Movies are composed of small moments, but Changing Lanes reaches for something larger. It falls short, though the attempt is appreciated.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
21,0,negative,"no , it's not nearly as good as any of its influences .","No, it comes nowhere close to matching any of the works that influenced it.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
22,1,positive,"visually fascinating . . . an often intense character study about fathers and sons , loyalty and duty .","Visually absorbing, it is an often powerful character study of fathers and sons, loyalty, and duty.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
23,1,positive,one of [herzog's] least inspired works .,It ranks among Herzog's least imaginative efforts.,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
24,1,positive,"with youthful high spirits , tautou remains captivating throughout michele's religious and romantic quests , and she is backed by a likable cast .","Brimming with youthful energy, Tautou stays captivating through Michele's religious and romantic pursuits, supported by an appealing cast.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
25,1,positive,a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides .,"It is spectacular to look at, provided you are wearing the theater's somewhat unwieldy 3D glasses.",False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
26,0,negative,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ?,Ice Age raises a previously inconceivable question: can computer-generated characters simply go through the motions?,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-direct-paraphrase-v1
