id,label,sentiment,original,masked,masked_span,masked_token_count,actual_masking_rate
1,0,negative,"the master of disguise may have made a great saturday night live sketch , but a great movie it is not .","the master of disguise may have made a great saturday night live sketch , but a <mask> is not .",great movie it,3,0.13636363636363635
2,1,positive,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .","ms . <mask> mr . serrault bring fresh , unforced naturalism to their characters .",seigner and,2,0.125
3,0,negative,eight legged freaks ? no big hairy deal .,eight legged freaks ? <mask> big hairy deal .,no,1,0.1111111111111111
4,1,positive,the bard as black comedy -- willie would have loved it .,the bard as black comedy -- <mask> have loved it .,willie would,2,0.16666666666666666
5,1,positive,generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,generally provides its target audience of youngsters enough stimulating eye and ear candy <mask> moral medicine go down .,to make its,3,0.14285714285714285
6,0,negative,the cold turkey would've been a far better title .,the cold turkey would've been a <mask> title .,far better,2,0.2
7,0,negative,couldn't someone take rob schneider and have him switch bodies with a funny person ?,couldn't someone take rob schneider <mask> him switch bodies with a funny person ?,and have,2,0.13333333333333333
8,1,positive,"the underworld urban angst is derivative of martin scorsese's taxi driver and goodfellas , but this film speaks for itself .",the underworld urban angst is derivative of martin scorsese's taxi driver and <mask> this film speaks for itself .,"goodfellas , but",3,0.14285714285714285
9,1,positive,"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .","a sensitive , cultivated treatment <mask> work as well as a remarkably faithful one .",of greene's,2,0.125
10,0,negative,"like its title character , esther kahn is unusual but unfortunately also irritating .","like its title character , esther kahn is unusual <mask> also irritating .",but unfortunately,2,0.14285714285714285
11,0,negative,"talky , artificial and opaque . . . an interesting technical exercise , but a tedious picture .","talky , artificial and opaque . . . an interesting technical exercise , <mask> picture .",but a tedious,3,0.16666666666666666
12,0,negative,essentially a collection of bits -- and they're all naughty .,essentially a collection of bits -- <mask> all naughty .,and they're,2,0.18181818181818182
13,0,negative,"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story .","you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from <mask> lot more time on the romantic urgency that's at the center of the story .",the afterlife and a,4,0.09302325581395349
14,1,positive,"smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them the respect they are due .","smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them <mask> due .",the respect they are,4,0.15384615384615385
15,0,negative,a sentimental hybrid that could benefit from the spice of specificity .,a sentimental hybrid that <mask> from the spice of specificity .,could benefit,2,0.16666666666666666
16,1,positive,russian ark is a new treasure of the hermitage .,russian ark <mask> new treasure of the hermitage .,is a,2,0.2
17,0,negative,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .","for all its impressive craftsmanship , and despite an overbearing <mask> , lily chou-chou never really builds up a head of emotional steam .",series of third-act crescendos,4,0.14814814814814814
18,0,negative,"peralta's mythmaking could have used some informed , adult hindsight .",peralta's mythmaking could have used some <mask> adult hindsight .,"informed ,",2,0.18181818181818182
19,1,positive,"not the best herzog perhaps , but unmistakably herzog .",not the best herzog <mask> but unmistakably herzog .,"perhaps ,",2,0.2
20,1,positive,"films are made of little moments . changing lanes tries for more . it doesn't reach them , but the effort is gratefully received .","films are made of little moments . changing lanes tries for more . <mask> , but the effort is gratefully received .",it doesn't reach them,4,0.16
21,0,negative,"no , it's not nearly as good as any of its influences .","no , it's not nearly as good <mask> of its influences .",as any,2,0.15384615384615385
22,1,positive,"visually fascinating . . . an often intense character study about fathers and sons , loyalty and duty .","visually fascinating . . . an often intense character study about <mask> , loyalty and duty .",fathers and sons,3,0.15789473684210525
23,1,positive,one of [herzog's] least inspired works .,one of [herzog's] least <mask> works .,inspired,1,0.14285714285714285
24,1,positive,"with youthful high spirits , tautou remains captivating throughout michele's religious and romantic quests , and she is backed by a likable cast .","with youthful high spirits , tautou remains captivating throughout <mask> quests , and she is backed by a likable cast .",michele's religious and romantic,4,0.16666666666666666
25,1,positive,a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides .,a dazzling thing to behold <mask> as you're wearing the somewhat cumbersome 3d goggles the theater provides .,-- as long,3,0.15
26,0,negative,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters to go through the motions ?,ice age posits a heretofore unfathomable question : is it possible for computer-generated characters <mask> the motions ?,to go through,3,0.15
27,1,positive,""" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film .",""" brown sugar "" admirably aspires to be more than another "" best man <mask> a theme throughout this funny film .",""" clone by weaving",4,0.16
28,1,positive,notorious c . h . o . has oodles of vulgar highlights .,notorious c . h . o . <mask> of vulgar highlights .,has oodles,2,0.15384615384615385
29,0,negative,the pivotal narrative point is so ripe the film can't help but go soft and stinky .,the pivotal <mask> so ripe the film can't help but go soft and stinky .,narrative point is,3,0.17647058823529413
30,0,negative,"another wholly unnecessary addition to the growing , moldering pile of , well , extreme stunt pictures .","another wholly unnecessary addition <mask> , moldering pile of , well , extreme stunt pictures .",to the growing,3,0.16666666666666666
31,1,positive,"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .","lathan and diggs have considerable personal charm , and their screen <mask> old story seem new .",rapport makes the,3,0.15789473684210525
32,0,negative,you may be galled that you've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,you may be galled that you've wasted nearly two hours of your own precious life with this <mask> a movie .,silly little puddle of,4,0.16666666666666666
