id,label,sentiment,original,masked,text,exact_copy_of_original,contains_mask_token,execution_mode,prompt_version
1,0,negative,"the master of disguise may have made a great saturday night live sketch , but a great movie it is not .","the master of disguise may have made a great saturday night live sketch , but a <mask> is not .","The Master of Disguise might have worked wonderfully as a Saturday Night Live skit, but it fails as a feature film.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
2,1,positive,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .","ms . <mask> mr . serrault bring fresh , unforced naturalism to their characters .","Ms. Seigner and Mr. Serrault give their roles a fresh, effortless sense of realism.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
3,0,negative,eight legged freaks ? no big hairy deal .,eight legged freaks ? <mask> big hairy deal .,Eight Legged Freaks? It is hardly anything to get excited about.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
4,1,positive,the bard as black comedy -- willie would have loved it .,the bard as black comedy -- <mask> have loved it .,The Bard recast as black comedy—Willie would have relished it.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
5,1,positive,generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,generally provides its target audience of youngsters enough stimulating eye and ear candy <mask> moral medicine go down .,It generally gives its young target audience enough visual and aural stimulation to help the moral lesson go down.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
6,0,negative,the cold turkey would've been a far better title .,the cold turkey would've been a <mask> title .,The Cold Turkey would have been a much better title.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
7,0,negative,couldn't someone take rob schneider and have him switch bodies with a funny person ?,couldn't someone take rob schneider <mask> him switch bodies with a funny person ?,Could someone arrange for Rob Schneider to trade bodies with a person who is actually funny?,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
8,1,positive,"the underworld urban angst is derivative of martin scorsese's taxi driver and goodfellas , but this film speaks for itself .",the underworld urban angst is derivative of martin scorsese's taxi driver and <mask> this film speaks for itself .,"Its urban underworld anxiety borrows from Martin Scorsese's Taxi Driver and Goodfellas, yet the film still stands on its own.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
9,1,positive,"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .","a sensitive , cultivated treatment <mask> work as well as a remarkably faithful one .","This is a sensitive, cultivated handling of Greene's work as well as an impressively faithful one.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
10,0,negative,"like its title character , esther kahn is unusual but unfortunately also irritating .","like its title character , esther kahn is unusual <mask> also irritating .","Like the character named in its title, Esther Kahn is distinctive but regrettably irritating as well.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
11,0,negative,"talky , artificial and opaque . . . an interesting technical exercise , but a tedious picture .","talky , artificial and opaque . . . an interesting technical exercise , <mask> picture .","Verbose, contrived, and impenetrable, it is technically intriguing but tedious as a film.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
12,0,negative,essentially a collection of bits -- and they're all naughty .,essentially a collection of bits -- <mask> all naughty .,"It is essentially a series of separate bits, every one of them naughty.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
13,0,negative,"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story .","you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from <mask> lot more time on the romantic urgency that's at the center of the story .",You leave wishing the movie had devoted far less effort to validating reports from the afterlife and far more to the romantic urgency at its core.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
14,1,positive,"smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them the respect they are due .","smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them <mask> due .","Smith never mocks these unusual owners of architectural curiosities; instead, he treats them with the respect they deserve.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
15,0,negative,a sentimental hybrid that could benefit from the spice of specificity .,a sentimental hybrid that <mask> from the spice of specificity .,This sentimental blend would benefit from a stronger dose of specificity.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
16,1,positive,russian ark is a new treasure of the hermitage .,russian ark <mask> new treasure of the hermitage .,The Hermitage has a new treasure in Russian Ark.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
17,0,negative,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .","for all its impressive craftsmanship , and despite an overbearing <mask> , lily chou-chou never really builds up a head of emotional steam .","Despite its impressive craft and an overbearing succession of third-act climaxes, Lily Chou-Chou never develops much emotional momentum.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
18,0,negative,"peralta's mythmaking could have used some informed , adult hindsight .",peralta's mythmaking could have used some <mask> adult hindsight .,A better-informed adult perspective would have improved Peralta's mythmaking.,False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
19,1,positive,"not the best herzog perhaps , but unmistakably herzog .",not the best herzog <mask> but unmistakably herzog .,"Perhaps not Herzog at his finest, but unmistakably his work.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
20,1,positive,"films are made of little moments . changing lanes tries for more . it doesn't reach them , but the effort is gratefully received .","films are made of little moments . changing lanes tries for more . <mask> , but the effort is gratefully received .","Movies are built from small moments, while Changing Lanes reaches for something more. It falls short, though the attempt is welcome.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
21,0,negative,"no , it's not nearly as good as any of its influences .","no , it's not nearly as good <mask> of its influences .","No, it does not come close to matching any of the works that influenced it.",False,False,ChatGPT UI manual batch,st04-chatgpt-ui-zero-shot-corruption-guided-v1
